"","year","crop_area","state_name","irr_area","prop_irr","fips","decade"
"200",1997,2434379,"FLORIDA",1739729,0.71465001957378,"12","1990_1999"
"201",1997,3894737,"GEORGIA",760601,0.195289438028807,"13","1990_1999"
"202",1997,4581227,"IDAHO",3102326,0.67718233564938,"16","1990_1999"
"203",1997,22428616,"ILLINOIS",350118,0.0156103256661044,"17","1990_1999"
"204",1997,11844628,"INDIANA",254285,0.0214683821222583,"18","1990_1999"
"205",1997,24008826,"IOWA",130557,0.00543787522138733,"19","1990_1999"
"206",1997,20989979,"KANSAS",2654630,0.12647130328239,"20","1990_1999"
"207",1997,4853500,"KENTUCKY",56366,0.0116134748119913,"21","1990_1999"
"208",1997,4022664,"LOUISIANA",951114,0.236438837546462,"22","1990_1999"
"209",1997,426711,"MAINE",22014,0.0515899519815519,"23","1990_1999"
"210",1997,1377747,"MARYLAND",68094,0.0494241685882822,"24","1990_1999"
"211",1997,184480,"MASSACHUSETTS",26465,0.143457285342585,"25","1990_1999"
"212",1997,6989300,"MICHIGAN",403927,0.0577921966434407,"26","1990_1999"
"213",1997,19794078,"MINNESOTA",399440,0.0201797729603773,"27","1990_1999"
"214",1997,4519775,"MISSISSIPPI",1109779,0.245538550038442,"28","1990_1999"
"215",1997,12850509,"MISSOURI",916926,0.0713532825820362,"29","1990_1999"
"216",1997,9792216,"MONTANA",1620083,0.165446003233589,"30","1990_1999"
"217",1997,17897591,"NEBRASKA",6955031,0.388601516259926,"31","1990_1999"
"218",1997,526408,"NEVADA",526204,0.999612467895625,"32","1990_1999"
"219",1997,111870,"NEW HAMPSHIRE",2612,0.0233485295432198,"33","1990_1999"
"220",1997,498912,"NEW JERSEY",93461,0.187329629273299,"34","1990_1999"
"221",1997,1118176,"NEW MEXICO",708387,0.633520125633174,"35","1990_1999"
"222",1997,3855732,"NEW YORK",71134,0.0184488963444555,"36","1990_1999"
"223",1997,4269966,"NORTH CAROLINA",145853,0.0341578832243629,"37","1990_1999"
"224",1997,20674991,"NORTH DAKOTA",178784,0.00864735563851031,"38","1990_1999"
"225",1997,10070813,"OHIO",34496,0.00342534411074856,"39","1990_1999"
"226",1997,8964248,"OKLAHOMA",466620,0.0520534460893987,"40","1990_1999"
"227",1997,3258082,"OREGON",1421750,0.436376371128781,"41","1990_1999"
"228",1997,4219115,"PENNSYLVANIA",38636,0.00915737068081813,"42","1990_1999"
"229",1997,21537,"RHODE ISLAND",3228,0.149881599108511,"44","1990_1999"
