"","year","state_abb","m_prism_ppt","m_prism_tavg","decade","fips"
"631","2011","LA",93.5473944211001,19.6143700889882,"2010_2019","22"
"632","2012","LA",133.92192546335,20.1566815842038,"2010_2019","22"
"633","2013","LA",136.628832869235,18.7460850332069,"2010_2019","22"
"634","2014","LA",133.531470112824,19.2027815704022,"2010_2019","22"
"635","2015","LA",145.787761120049,19.7530951858532,"2010_2019","22"
"636","2016","LA",146.759617068094,20.0995551207579,"2010_2019","22"
"637","2017","LA",136.89891515433,20.0874655051059,"2010_2019","22"
"638","2018","LA",141.885494603848,20.6946272823258,"2010_2019","22"
"639","2019","LA",140.266224690366,19.4729471045997,"2010_2019","22"
"640","2020","LA",150.08073890849,19.6694911193118,"2010_2019","22"
"641","1981","MA",90.4213585671609,15.2643930833846,"1980_1989","25"
"642","1982","MA",102.331419334292,14.6082605607959,"1980_1989","25"
"643","1983","MA",115.174556082268,14.4395262394642,"1980_1989","25"
"644","1984","MA",107.218457389815,15.3620448990493,"1980_1989","25"
"645","1985","MA",103.432344292936,14.0488404130435,"1980_1989","25"
"646","1986","MA",85.7442919023724,14.9381717320971,"1980_1989","25"
"647","1987","MA",108.750531384974,15.136933844402,"1980_1989","25"
"648","1988","MA",84.8442211032164,15.236127531096,"1980_1989","25"
"649","1989","MA",137.405435982157,15.3281690626739,"1980_1989","25"
"650","1990","MA",113.643889608357,14.3473337117484,"1990_1999","25"
"651","1991","MA",112.770435817222,14.904850223394,"1990_1999","25"
"652","1992","MA",89.6704387530824,14.2428803540094,"1990_1999","25"
"653","1993","MA",77.7558353452159,15.4955508332262,"1990_1999","25"
"654","1994","MA",90.0530573457494,14.5277509471218,"1990_1999","25"
"655","1995","MA",88.6882062132384,15.478854261624,"1990_1999","25"
"656","1996","MA",133.929692589856,15.2031793162366,"1990_1999","25"
"657","1997","MA",78.3867449561552,14.6763342686217,"1990_1999","25"
"658","1998","MA",106.337022037132,16.0963976332377,"1990_1999","25"
"659","1999","MA",90.7301929919948,14.9694031428403,"1990_1999","25"
"660","2000","MA",112.940232414687,14.8421548919788,"2000_2009","25"
"661","2001","MA",71.7737588797854,14.7179442937602,"2000_2009","25"
"662","2002","MA",98.5615024048861,15.8298746150981,"2000_2009","25"
"663","2003","MA",117.465382313751,13.9618622377069,"2000_2009","25"
"664","2004","MA",119.417552427371,15.5523121958743,"2000_2009","25"
"665","2005","MA",130.933068561435,16.3230512316495,"2000_2009","25"
"666","2006","MA",131.161089801771,14.7599817018699,"2000_2009","25"
"667","2007","MA",96.2233233412894,16.0582656633383,"2000_2009","25"
"668","2008","MA",120.529854099856,15.5757093434414,"2000_2009","25"
"669","2009","MA",122.546692398949,14.0882235630272,"2000_2009","25"
"670","2010","MA",85.6273885996654,16.9775800549017,"2010_2019","25"
"671","2011","MA",146.78559347013,15.2811541860484,"2010_2019","25"
"672","2012","MA",98.4252676536223,15.3742010750397,"2010_2019","25"
"673","2013","MA",106.655199428123,16.0266402184569,"2010_2019","25"
"674","2014","MA",104.850377067126,15.7085857329939,"2010_2019","25"
"675","2015","MA",91.6268130084697,13.9680143167779,"2010_2019","25"
"676","2016","MA",73.4372312339682,16.3959357480388,"2010_2019","25"
"677","2017","MA",118.787101622907,16.4627733186084,"2010_2019","25"
"678","2018","MA",133.072977683383,16.3905147214951,"2010_2019","25"
"679","2019","MA",111.736330738968,16.0678549558649,"2010_2019","25"
"680","2020","MA",86.0857099081927,15.0339818665791,"2010_2019","25"
"681","1981","MD",85.3384953605002,17.266311456995,"1980_1989","24"
"682","1982","MD",83.2903280098318,14.9664318651994,"1980_1989","24"
"683","1983","MD",115.190848569324,16.5341395612132,"1980_1989","24"
"684","1984","MD",90.4261718352831,16.1433537772626,"1980_1989","24"
"685","1985","MD",92.7556271287606,17.1918264125,"1980_1989","24"
"686","1986","MD",66.7178564846825,16.5940197202631,"1980_1989","24"
"687","1987","MD",77.9444027492427,16.5467340287488,"1980_1989","24"
"688","1988","MD",85.2366292724263,16.179174868041,"1980_1989","24"
"689","1989","MD",124.129730327189,16.207024780111,"1980_1989","24"
"690","1990","MD",98.6480908261496,16.6570031965153,"1990_1999","24"
"691","1991","MD",74.1799401046736,17.19440461592,"1990_1999","24"
"692","1992","MD",92.6788858443771,15.2191358003752,"1990_1999","24"
"693","1993","MD",88.8364018677603,17.858740557783,"1990_1999","24"
"694","1994","MD",93.2702257201692,15.5861277105958,"1990_1999","24"
"695","1995","MD",89.3009704385383,16.7199232238471,"1990_1999","24"
"696","1996","MD",134.660639154594,15.4944472781446,"1990_1999","24"
"697","1997","MD",86.8913222564465,15.6183154154778,"1990_1999","24"
"698","1998","MD",89.0401849510182,13.9961627015848,"1990_1999","24"
"699","1999","MD",95.543257395113,18.0848092359661,"1990_1999","24"
"700","2000","MD",100.126441535142,16.2112790143871,"2000_2009","24"
"701","2001","MD",73.0035502199517,16.3869600209817,"2000_2009","24"
"702","2002","MD",98.9363272610284,16.9123120579394,"2000_2009","24"
"703","2003","MD",133.112997310334,16.1225722923041,"2000_2009","24"
"704","2004","MD",110.709249418178,16.8913270596455,"2000_2009","24"
"705","2005","MD",98.6210446897464,18.2617594911673,"2000_2009","24"
"706","2006","MD",107.272325187269,15.5790858670955,"2000_2009","24"
"707","2007","MD",77.8889199340023,16.9145909873458,"2000_2009","24"
"708","2008","MD",95.1759477695919,16.2243321523555,"2000_2009","24"
"709","2009","MD",118.70545499319,16.3816628309321,"2000_2009","24"
"710","2010","MD",91.5454225443928,17.7496415609129,"2010_2019","24"
"711","2011","MD",124.451921009203,16.1433954159958,"2010_2019","24"
"712","2012","MD",98.4247434959087,16.0883277702093,"2010_2019","24"
"713","2013","MD",105.408778319524,17.53634458645,"2010_2019","24"
"714","2014","MD",102.395355510413,15.8343716289858,"2010_2019","24"
"715","2015","MD",104.295121329014,17.4243475990846,"2010_2019","24"
"716","2016","MD",97.5106665958799,17.2492063635622,"2010_2019","24"
"717","2017","MD",100.655925328846,15.8831187836671,"2010_2019","24"
"718","2018","MD",160.218818586248,16.8373944395202,"2010_2019","24"
"719","2019","MD",101.068297186774,17.2816730497241,"2010_2019","24"
"720","2020","MD",124.340020535324,17.1864169805466,"2010_2019","24"
"721","1981","ME",113.535837979307,13.2408105624722,"1980_1989","23"
"722","1982","ME",74.4439100565313,14.0998242020279,"1980_1989","23"
"723","1983","ME",100.483651914069,13.589595701691,"1980_1989","23"
"724","1984","ME",100.812140758465,14.5392123614327,"1980_1989","23"
"725","1985","ME",83.251752059038,14.2658856828945,"1980_1989","23"
"726","1986","ME",86.0256895869451,12.4405251195777,"1980_1989","23"
"727","1987","ME",91.3126058513286,13.1323464552317,"1980_1989","23"
"728","1988","ME",84.279113921358,13.2467573238235,"1980_1989","23"
"729","1989","ME",102.600706404362,14.9050570089418,"1980_1989","23"
"730","1990","ME",116.984444523986,13.5109683744715,"1990_1999","23"
"731","1991","ME",105.598983672003,15.0680362583925,"1990_1999","23"
"732","1992","ME",78.9681455877294,13.882523948966,"1990_1999","23"
"733","1993","ME",81.9937186294392,14.2261650692053,"1990_1999","23"
"734","1994","ME",85.8172415141252,14.750753708075,"1990_1999","23"
"735","1995","ME",81.6954983030915,14.9734367481169,"1990_1999","23"
"736","1996","ME",109.795226992007,14.1443961154199,"1990_1999","23"
"737","1997","ME",80.8926367121398,13.8554518851372,"1990_1999","23"
"738","1998","ME",99.8403154372824,13.7795937956682,"1990_1999","23"
"739","1999","ME",103.837218233692,15.7504062477799,"1990_1999","23"
"740","2000","ME",80.7977765391797,13.7705008350677,"2000_2009","23"
"741","2001","ME",66.3102842399445,15.5566828054801,"2000_2009","23"
"742","2002","ME",88.2243399497476,13.0500243774894,"2000_2009","23"
"743","2003","ME",108.6077287646,14.7924704285967,"2000_2009","23"
"744","2004","ME",90.5009150600214,14.2899978283647,"2000_2009","23"
"745","2005","ME",139.828653030861,15.0721172661691,"2000_2009","23"
"746","2006","ME",127.659335776614,13.867133132073,"2000_2009","23"
"747","2007","ME",86.4367028474587,15.0047220486123,"2000_2009","23"
"748","2008","ME",116.443458987366,14.5984911357671,"2000_2009","23"
"749","2009","ME",117.801806870339,12.7921895044313,"2000_2009","23"
"750","2010","ME",97.4262444426083,14.5573875501626,"2010_2019","23"
"751","2011","ME",122.923376291067,15.3981652523213,"2010_2019","23"
"752","2012","ME",122.400242960917,14.3129679718789,"2010_2019","23"
"753","2013","ME",123.911716670281,15.2535958894388,"2010_2019","23"
"754","2014","ME",111.329274552963,15.3153609191526,"2010_2019","23"
"755","2015","ME",104.920429489073,15.3335944460043,"2010_2019","23"
"756","2016","ME",84.1231620216455,15.6531752348605,"2010_2019","23"
"757","2017","ME",103.864780238148,14.3284346042429,"2010_2019","23"
"758","2018","ME",88.194946703971,15.3170318440095,"2010_2019","23"
"759","2019","ME",106.298987675194,14.5818686533501,"2010_2019","23"
"760","2020","ME",77.8050690753146,15.2836800379726,"2010_2019","23"
"761","1981","MI",103.38266079555,14.7295205306458,"1980_1989","26"
"762","1982","MI",69.1211750051211,16.6221524223285,"1980_1989","26"
"763","1983","MI",85.9330385283703,15.388986175924,"1980_1989","26"
"764","1984","MI",77.9889824505926,15.3683520666907,"1980_1989","26"
"765","1985","MI",89.0154467824523,14.1003803167983,"1980_1989","26"
"766","1986","MI",110.584464671136,15.530092274651,"1980_1989","26"
"767","1987","MI",77.0373511344571,14.7078349856248,"1980_1989","26"
"768","1988","MI",78.1984558746889,14.3570501347268,"1980_1989","26"
"769","1989","MI",76.944825727296,14.8860948814046,"1980_1989","26"
"770","1990","MI",93.4627885710904,13.7753742870725,"1990_1999","26"
"771","1991","MI",90.290535485794,16.5307171272466,"1990_1999","26"
"772","1992","MI",84.466418244637,13.7457435615603,"1990_1999","26"
"773","1993","MI",93.466680564894,14.683080375976,"1990_1999","26"
"774","1994","MI",88.1015849154508,14.0762203512759,"1990_1999","26"
"775","1995","MI",70.4347063500027,17.3765099401592,"1990_1999","26"
"776","1996","MI",89.03470246533,16.3151145059293,"1990_1999","26"
"777","1997","MI",79.653432875415,15.5579030123493,"1990_1999","26"
"778","1998","MI",60.4789585487809,15.1789218336909,"1990_1999","26"
"779","1999","MI",70.6732959436131,14.8717421543988,"1990_1999","26"
"780","2000","MI",96.3160770304225,15.3393778996406,"2000_2009","26"
"781","2001","MI",92.0545938616991,14.8319581794693,"2000_2009","26"
"782","2002","MI",75.5126392858802,15.7019400611049,"2000_2009","26"
"783","2003","MI",85.637135828797,13.5114173737433,"2000_2009","26"
"784","2004","MI",87.2315479679782,13.9869755627071,"2000_2009","26"
"785","2005","MI",61.2357448632369,16.5559175460961,"2000_2009","26"
"786","2006","MI",92.3210678375242,14.2075023369985,"2000_2009","26"
"787","2007","MI",81.5110285177848,16.3907785073996,"2000_2009","26"
"788","2008","MI",93.4570710543027,15.3490892079639,"2000_2009","26"
"789","2009","MI",87.3231878086027,13.4541378119575,"2000_2009","26"
"790","2010","MI",88.6547664279871,16.7850899550969,"2010_2019","26"
"791","2011","MI",103.692585305513,14.5280857823706,"2010_2019","26"
"792","2012","MI",75.2309888609444,15.2628305656594,"2010_2019","26"
"793","2013","MI",96.4868599694886,15.3972369971535,"2010_2019","26"
"794","2014","MI",93.7429207359865,15.0080058962131,"2010_2019","26"
"795","2015","MI",86.3368535118325,14.6720596478069,"2010_2019","26"
"796","2016","MI",87.0013667829785,15.1124199519316,"2010_2019","26"
"797","2017","MI",94.7671839570362,16.2137901004917,"2010_2019","26"
